0,GOOGL,27.82,87.0,845,Larry Page
1,WMT,4.61,484.0,65,n.a.
2,MSFT,-1.0,85.0,64,Bill Gates
3,RIL,,50.0,1023,Mukesh Ambani
4,TATA,5.6,,n.a.,Ratan Tata
5,AAPL,31.5,,189,Tim Cook
6,AMZN,12.7,514.0,134,Jeff Bezos
7,TSLA,8.2,96.0,248,Elon Musk
8,NFLX,9.4,39.0,415,Ted Sarandos
9,META,14.8,134.0,312,Mark Zuckerberg
10,NVDA,21.7,61.0,950,Jensen Huang
11,IBM,6.1,60.0,143,Arvind Krishna
12,ORCL,5.4,49.0,118,Larry Ellison
13,INTC,-2.4,77.0,35,Pat Gelsinger
14,AMD,3.7,22.0,176,Lisa Su
15,ADBE,11.5,19.0,520,Shantanu Narayen
16,CSCO,3.9,57.0,49,Chuck Robbins
17,SAP,6.8,35.0,168,Christian Klein
18,SONY,7.2,88.0,91,Kenichiro Yoshida
19,INFY,3.2,18.0,22,Salil Parekh
20,TCS,4.5,29.0,42,K Krithivasan
21,HCL,2.9,15.0,18,C Vijayakumar
22,SHOP,,7.0,76,Tobi Lutke
23,UBER,-0.5,38.0,71,Dara Khosrowshahi
24,LYFT,-1.2,4.0,14,David Risher
25,BABA,8.1,126.0,79,Eddie Wu
26,PYPL,4.3,29.0,66,Alex Chriss
27,DIS,3.4,89.0,104,Bob Iger
28,KO,2.7,45.0,63,James Quincey
29,PEP,6.2,91.0,174,Ramon Laguarta
