tickers,eps,revenue,price,people
GOOGL,27.82,87,845,Larry Page
WMT,4.61,484,65,n.a.
MSFT,-1,85,64,Bill Gates
RIL,not available,50,1023,Mukesh Ambani
TATA,5.6,-1.5,n.a.,Ratan Tata
AAPL,31.5,-2.4,189,Tim Cook
AMZN,12.7,514,134,Jeff Bezos
TSLA,8.2,96,248,Elon Musk
NFLX,9.4,39,415,Ted Sarandos
META,14.8,134,312,Mark Zuckerberg
NVDA,21.7,61,950,Jensen Huang
IBM,6.1,60,143,Arvind Krishna
ORCL,5.4,49,118,Larry Ellison
INTC,-2.4,77,35,Pat Gelsinger
AMD,3.7,22,176,Lisa Su
ADBE,11.5,19,520,Shantanu Narayen
CSCO,3.9,57,49,Chuck Robbins
SAP,6.8,35,168,Christian Klein
SONY,7.2,88,91,Kenichiro Yoshida
INFY,3.2,18,22,Salil Parekh
TCS,4.5,29,42,K Krithivasan
HCL,2.9,15,18,C Vijayakumar
SHOP,n.a.,7,76,Tobi Lutke
UBER,-0.5,38,71,Dara Khosrowshahi
LYFT,-1.2,4,14,David Risher
BABA,8.1,126,79,Eddie Wu
PYPL,4.3,29,66,Alex Chriss
DIS,3.4,89,104,Bob Iger
KO,2.7,45,63,James Quincey
PEP,6.2,91,174,Ramon Laguarta
