Pressure,global_radiation,temp_mean(c),temp_min(c),temp_max(c),Wind_Speed,Wind_Bearing,normalized_label
971.5,0.25,9,7,10.7,0,0,0
972.3,0.97,10.5,6.7,13.5,0,0,0
972.4,0.74,6.5,3.9,9.1,0,0,0
973.2,0.15,5.1,3.7,7.7,0,0,0
975.7,0.12,5.2,2.6,8.3,0,0,0
975.9,0.18,4.9,3.8,7.4,0,0,0
976.8,0.27,5.8,4.4,7.1,0,0,1
976.8,0.35,9.2,7.7,9.2,0,0,0
977.3,0.59,11.2,9.3,13.2,0,0,0
977.7,0.64,9,5.4,12.1,0,0,0
978.9,0.14,2.4,0.6,4.7,0,0,0
979.1,0.18,8.5,6.5,9.6,0,0,0
979.2,0.86,10.4,7.8,13.6,0,0,1
979.7,0.31,8.9,6.8,11,0,0,0
980.6,1.01,3.5,0.6,7.1,0,0,0
980.7,0.2,8.6,5.6,9.6,0,0,0
980.9,2.12,9.5,5.5,14.8,0,0,1
981.1,0.71,8.9,6.5,12.3,0,0,0
